0 [1.00e+01]
1000 [1.11e+01]
2000 [1.30e+01]
3000 [1.39e+01]
4000 [1.48e+01]
5000 [1.57e+01]
6000 [1.66e+01]
7000 [1.75e+01]
8000 [1.84e+01]
9000 [1.93e+01]
10000 [2.02e+01]
11000 [2.11e+01]
12000 [2.20e+01]
13000 [2.29e+01]
14000 [2.38e+01]
15000 [2.47e+01]
16000 [2.56e+01]
17000 [2.65e+01]
18000 [2.75e+01]
19000 [2.84e+01]
20000 [2.93e+01]
21000 [3.02e+01]
22000 [3.11e+01]
23000 [3.21e+01]
24000 [3.30e+01]
25000 [3.39e+01]
26000 [3.48e+01]
27000 [3.58e+01]
28000 [3.67e+01]
29000 [3.76e+01]
30000 [3.85e+01]
30000 [3.85e+01]
33971 [1.00e+02]
